cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url
the Nias 1911 list	1	boto niha	NA	lichaam	body	badan, tubuh	4	4	1	FALSE									BODY	1480	https://concepticon.clld.org/parameters/1480
the Nias 1911 list	1	ôsi niha	NA	lichaam	body	badan, tubuh	4	4	1	FALSE									BODY	1480	https://concepticon.clld.org/parameters/1480
the Nias 1911 list	2	hogo	1	hoofd	head	kepala	5	5	2	TRUE			hogo						HEAD	1256	https://concepticon.clld.org/parameters/1256
the Nias 1911 list	2	azoezoe	1	hoofd	head	kepala	5	5	2	TRUE			azoezoe						HEAD	1256	https://concepticon.clld.org/parameters/1256
the Nias 1911 list	2	telao	1	hoofd	head	kepala	5	5	2	TRUE			telao						HEAD	1256	https://concepticon.clld.org/parameters/1256
the Nias 1911 list	3	bawa	NA	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE									FACE	1560	https://concepticon.clld.org/parameters/1560
the Nias 1911 list	4	angango	NA	voorhoofd	forehead	dahi	24	25	4	FALSE									FOREHEAD	123	https://concepticon.clld.org/parameters/123
the Nias 1911 list	5	solesole hôgô	NA	schedel	skull	tempurung kepala	26	27	5	FALSE									SKULL	1605	https://concepticon.clld.org/parameters/1605
the Nias 1911 list	5	amoe'oe	NA	schedel	skull	tempurung kepala	26	27	5	FALSE									SKULL	1605	https://concepticon.clld.org/parameters/1605
the Nias 1911 list	6	boe	NA	hoofdhaar	hair	rambut	72	73	6	TRUE									HAIR	1040	https://concepticon.clld.org/parameters/1040
the Nias 1911 list	8	alizoezoe	NA	kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE									CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943
the Nias 1911 list	9	talinga	NA	oor	ear	telinga	8	8	9	TRUE									EAR	1247	https://concepticon.clld.org/parameters/1247
the Nias 1911 list	11	hôrô	NA	oog	eye	mata	9	9	11	TRUE									EYE	1248	https://concepticon.clld.org/parameters/1248
the Nias 1911 list	11	mata	NA	oog	eye	mata	9	9	11	TRUE									EYE	1248	https://concepticon.clld.org/parameters/1248
the Nias 1911 list	15	rongôrôngô	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE									EYEBROW	1173	https://concepticon.clld.org/parameters/1173
the Nias 1911 list	15	boe mbaosa	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE									EYEBROW	1173	https://concepticon.clld.org/parameters/1173
the Nias 1911 list	17	taŵa hôrô	NA	traan	tear	air mata (tunggal)	10	10	-	FALSE									TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651
the Nias 1911 list	18	ichoe	NA	neus	nose	hidung	11	11	16	TRUE									NOSE	1221	https://concepticon.clld.org/parameters/1221
the Nias 1911 list	20	ingo	NA	snot	mucus	ingus	-	12	18	FALSE									NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208
the Nias 1911 list	21	bo'ô	NA	wang	cheek	pipi	23	24	19	FALSE									CHEEK	1730	https://concepticon.clld.org/parameters/1730
the Nias 1911 list	22	bawa	NA	mond	mouth	mulut	12	13	-	TRUE									MOUTH	674	https://concepticon.clld.org/parameters/674
the Nias 1911 list	25	bewe	NA	lippen	lips	bibir (jamak)	13	14	-	FALSE									LIP	478	https://concepticon.clld.org/parameters/478
the Nias 1911 list	27	boe mbawa	NA	knevel	moustache	kumis	21	22	23	FALSE									MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165
the Nias 1911 list	29	tômba	NA	kin	chin	dagu	19	20	24	FALSE									CHIN	1510	https://concepticon.clld.org/parameters/1510
the Nias 1911 list	30	gambi	NA	baard	beard	janggut	20	21	25	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678
the Nias 1911 list	31	lela	NA	tong	tongue	lidah	15	16	26	TRUE									TONGUE	1205	https://concepticon.clld.org/parameters/1205
the Nias 1911 list	32	araro	NA	verhemelte	palate	langit-langit	16	17	27	FALSE									PALATE	540	https://concepticon.clld.org/parameters/540
the Nias 1911 list	33	ifô	NA	tand	tooth	gigi	17	18	28	TRUE									TOOTH	1380	https://concepticon.clld.org/parameters/1380
the Nias 1911 list	34	boha	NA	kies	molar	geraham	18	19	29	FALSE									MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049
the Nias 1911 list	35	ngingi	NA	tandvlees	gums	gusi	-	-	30	FALSE									GUMS	139	https://concepticon.clld.org/parameters/139
the Nias 1911 list	37	tôlôtôlô	NA	keel	throat	kerongkongan	14	15	32	FALSE									THROAT	1346	https://concepticon.clld.org/parameters/1346
the Nias 1911 list	38	bagi	NA	hals	neck	leher	27	28	33	TRUE									NECK	1333	https://concepticon.clld.org/parameters/1333
the Nias 1911 list	41/42	toto	2	borsten < unsp. >	breasts	payudara	34	36	-	TRUE			toto						BREAST	1402	https://concepticon.clld.org/parameters/1402
the Nias 1911 list	41/42	toto'a	2	borsten < unsp. >	breasts	payudara	34	36	-	TRUE			toto'a						BREAST	1402	https://concepticon.clld.org/parameters/1402
the Nias 1911 list	41/42	meme	2	borsten < unsp. >	breasts	payudara	34	36	-	TRUE			meme						BREAST	1402	https://concepticon.clld.org/parameters/1402
the Nias 1911 list	41/42	soesoe	2	borsten < unsp. >	breasts	payudara	34	36	-	TRUE			soesoe						BREAST	1402	https://concepticon.clld.org/parameters/1402
the Nias 1911 list	45	balô meme	NA	tepel	nipple	puting susu	35	37	38	FALSE									NIPPLE	796	https://concepticon.clld.org/parameters/796
the Nias 1911 list	45	balô zoesoe	NA	tepel	nipple	puting susu	35	37	38	FALSE									NIPPLE	796	https://concepticon.clld.org/parameters/796
the Nias 1911 list	46	ŵe zoesoe	NA	melk	breast milk	air susu	36	38	39	FALSE									BREAST MILK	3912	https://concepticon.clld.org/parameters/3912
the Nias 1911 list	46	soesoe	NA	melk	breast milk	air susu	36	38	39	FALSE									BREAST MILK	3912	https://concepticon.clld.org/parameters/3912
the Nias 1911 list	48	fainoe	NA	zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE									SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472
the Nias 1911 list	48	mamainoe	NA	zuigen <aan de borst>	to suck at the breast	menyusu	38	39	40	FALSE									SUCKLE (BREASTFEED, NURSE)	2472	https://concepticon.clld.org/parameters/2472
the Nias 1911 list	50	tôdô	NA	rib	rib	tulang rusuk	69	70	42	FALSE									RIB	801	https://concepticon.clld.org/parameters/801
the Nias 1911 list	52	tôdô	NA	hart	heart	jantung	29	31	44	TRUE									HEART	1223	https://concepticon.clld.org/parameters/1223
the Nias 1911 list	53	betoe'a eboea	NA	maag	stomach	lambung	28	30	-	FALSE									STOMACH	819	https://concepticon.clld.org/parameters/819
the Nias 1911 list	54	taloe	NA	bulk	belly	perut	31	33	45	TRUE									BELLY	1251	https://concepticon.clld.org/parameters/1251
the Nias 1911 list	54	beto	NA	bulk	belly	perut	31	33	45	TRUE									BELLY	1251	https://concepticon.clld.org/parameters/1251
